position,raw_time,raw_name
1,00:33:46,William Battershill
2,00:33:57,Zakariya Mahamed
3,00:34:02,Matthew Stonier
4,00:34:15,Will Barnicoat
5,00:34:17,Michael Ward
6,00:34:19,Joe Hudson
7,00:34:21,Joshua Dickinson
8,00:34:29,Alex Ediker
9,00:34:30,Ned Potter
10,00:34:36,Cameron Allan
11,00:34:38,Hamish Hickey
12,00:34:41,Tomer Tarragano
13,00:34:44,Angus Mcmillan
14,00:34:45,Sam Charlton
15,00:34:46,James Edgerton
16,00:34:48,Ahmed Abdulle
17,00:34:49,Christian Graham
18,00:34:49,Charlie Brisley
19,00:34:53,Henry Mcluckie
20,00:34:56,David Stone
21,00:34:57,Edward Buck
22,00:34:57,George Beardmore
23,00:35:13,Peter Molloy
24,00:35:17,Max Abernethy
25,00:35:24,Matt Knowles
26,00:35:34,Kieran Reilly
27,00:35:40,Oscar Subuh-Symons
28,00:35:42,Jacob Cann
29,00:35:46,Joseph Massingham
30,00:35:48,Luke Mccarron
31,00:35:55,Jacob O’hara
32,00:35:56,Sean Stacey
33,00:35:57,Ben Miles
34,00:36:02,Milan Campion
35,00:36:11,Jamie Burns
36,00:36:13,Finlay Todd
37,00:36:13,William Aitken
38,00:36:15,Flurry Grierson
39,00:36:16,Sam Tyas
40,00:36:18,Tom Wood
41,00:36:18,Finn Lydon
42,00:36:18,Lloyd Sheppard
43,00:36:19,Magnus Tait
44,00:36:19,Finnian Hutchinson
45,00:36:26,James Pettersson
46,00:36:26,Charlie Mcmillan
47,00:36:29,Dominic Priest
48,00:36:29,Jeremy Dempsey
49,00:36:31,Dylan Gillett
50,00:36:31,Calum Phillip
51,00:36:42,Callum Tharme
52,00:36:43,Harry Holmes
53,00:36:45,Tom Jones
54,00:36:52,James Rennie
55,00:36:52,Thomas Crockett
56,00:36:53,Vincenzo Pratley
57,00:36:59,Thomas Gostelow
58,00:37:04,Sam Gentry
59,00:37:09,Luke Burgess
60,00:37:11,Benjamin Wills
61,00:37:12,Elliot Smith-Rasmussen
62,00:37:20,William Tighe
63,00:37:22,Leonardo Geretto
64,00:37:27,Ruaridh Mon-Williams
65,00:37:30,Justin Davies
66,00:37:32,Niki Faulkner
67,00:37:32,Aaron Odentz
68,00:37:33,Nathan Goddard
69,00:37:37,Thomas Renshaw
70,00:37:41,Christopher Mclew
71,00:37:42,Dan Poynting
72,00:37:44,Sam Norris
73,00:37:46,Aidan Smith
74,00:37:49,Andrew Johnstone
75,00:37:50,Matthew Briggs
76,00:37:51,Samuel Leitch
77,00:37:51,Harry Allan
78,00:37:58,Cameron Reilly
79,00:38:05,Ben Shaw
80,00:38:06,Andrew Carey
81,00:38:08,Marcus Shantry
82,00:38:08,Alex Rowe
83,00:38:09,Leo Cossham
84,00:38:10,Joseph Buckley
85,00:38:13,Jamie Mackinnon
86,00:38:13,Benjamin Bergstrand
87,00:38:18,Oliver Newton
88,00:38:20,Charlie Kershaw
89,00:38:21,George Phillips
90,00:38:23,Daniel Ashwood
91,00:38:23,Steven Denby
92,00:38:24,Ewan Wheelwright
93,00:38:25,Ben Winfield
94,00:38:25,Robert Hickman
95,00:38:27,Adam Dart
96,00:38:30,James Fox
97,00:38:43,Gregor Malcolm
98,00:38:44,Jack Gumm
99,00:38:47,Will Bowran
100,00:38:52,Anthony Addison
