position,raw_time,raw_name
1,28:35:00,Hugo Milner
2,28:38:00,Zakariya Mahamed
3,28:52:00,Daniel Jarvis
4,29:08:00,Sam Dickinson
5,29:12:00,Alasdair Kinloch
6,29:17:00,Matthew Stonier
7,29:17:00,Angus McMillan
8,29:23:00,Joe Hudson
9,29:25:00,Jonathan Escalante-Phillips
10,29:27:00,Benjamin West
11,29:30:00,Jack Millar
12,29:35:00,Jeremy Dempsey
13,29:37:00,Sam Charlton
14,29:40:00,Jordan Rowe
15,29:47:00,Jack Goodwin
16,29:50:00,Mark Pearce
17,29:51:00,Samuel Moakes
18,29:56:00,Corey De'Ath
19,30:00:00,Jacob Cann
20,30:10:00,Alex Ediker
21,30:12:00,Sam Costley
22,30:17:00,Ned Potter
23,30:24:00,Matthew Bowser
24,30:29:00,Ricky Harvie
25,30:32:00,Oliver Paulin
26,30:36:00,Joe Morrow
27,30:37:00,Ben Alcock
28,30:41:00,Richard Slade
29,30:48:00,Benjamin Davies
30,30:53:00,Daniel Racle
31,30:58:00,Max Heyden
32,31:05:00,Nathan Jones
33,31:05:00,James Minter
34,31:06:00,Gregory Jayasuriya
35,31:15:00,Thomas Renshaw
36,31:17:00,Ben Cumberland
37,31:23:00,Milan Campion
38,31:26:00,Daniel Brookling
39,31:27:00,Tom Wood
40,31:33:00,Benedict Westhenry
41,31:34:00,Indy Barnes
42,31:39:00,Freddy Richardson
43,31:42:00,Alex Miell-Ingram
44,31:48:00,Hugo Donovan
45,31:50:00,Michael Bartram
46,31:53:00,Will Perkin
47,31:58:00,Jake Richardson
48,31:59:00,Bradley Burke
49,32:00:00,Daniel Bundred
50,32:02:00,Elliot Hind
51,32:07:00,Tim Harrison
52,32:09:00,Tom Drayton
53,32:10:00,Aidan Smith
54,32:14:00,Charlie McMillan
55,32:22:00,Frank O'Brien
56,32:25:00,Matthew Fuller
57,32:29:00,Craig Emmerson
58,32:32:00,Zac Hudd
59,32:38:00,Adam Houchell
60,32:40:00,Aran Davidson
61,32:43:00,Rob Wright
62,32:44:00,Ben Pattison
63,32:44:00,Alejandro Arroyo Yamin
64,32:46:00,Paul Mizon
65,32:57:00,David Clark
66,32:58:00,Samuel Burnell
67,32:59:00,Joe Edwards
68,33:00:00,William Bowran
69,33:05:00,Jared Martin
70,33:12:00,Joel Dungworth
71,33:14:00,Marcus Lovell
72,33:16:00,Matthew Harris
73,33:17:00,Sebastian Cirillo
74,33:18:00,Kieran Lindars
75,33:18:00,Hugh Chatfield
76,33:18:00,Jackson Hartigan
77,33:19:00,Ethan McColgan
78,33:21:00,Max Stevens
79,33:23:00,Isaac Brown
80,33:24:00,Nick Hughes
81,33:25:00,Joe Strange
82,33:25:00,Ben Fowler
83,33:27:00,Ewan Forsythe
84,33:29:00,Toby Evans
85,33:34:00,Liam Busby
86,33:38:00,Mohammad Elbayan
87,33:39:00,Alex Goodall
88,33:45:00,Paul Farmer
89,33:46:00,James Haynes
90,33:49:00,Jack Rose
91,33:50:00,Thomas Halling
92,33:50:00,Thomas Quirk
93,33:52:00,Peter Mackrell
94,33:53:00,Rhys Rowlands
95,33:53:00,Tim Harris
96,33:54:00,Mintu Sidhu
97,33:56:00,James Palmer
98,33:58:00,Andrew Headley
99,34:01:00,Zak Freeland
100,34:04:00,Ian Halpin
