position,raw_time,raw_name
1,36:34:00,Mahamed Mahamed
2,36:35:00,Emile Cairess
3,37:04:00,Carl Avery
4,37:12:00,John Millar
5,37:15:00,Adam Hickey
6,37:31:00,Jack Gray
7,37:34:00,Alex Brecker
8,37:36:00,Omar Ahmed
9,37:38:00,Joe Steward
10,37:43:00,Graham Rush
11,37:43:00,Nigel Martin
12,37:45:00,Linton Taylor
13,37:46:00,Ben Cole
14,37:46:00,Frank Baddick
15,37:46:00,Antonio Silva
16,37:48:00,Luke Prior
17,37:49:00,Henry Pearce
18,37:50:00,Peter Le Grice
19,37:59:00,Corey De'Ath
20,38:02:00,Ben Alcock
21,38:03:00,Jonathan Thewlis
22,38:06:00,Mark Pearce
23,38:06:00,Edgars Sumskis
24,38:07:00,Edward Shepherd
25,38:10:00,Philip Sesemann
26,38:13:00,Gordon Benson
27,38:13:00,Noah Hurton
28,38:14:00,Jamie Parkinson
29,38:16:00,Roger Poolman
30,38:18:00,Alastair Watson
31,38:19:00,Chris Wright
32,38:21:00,Jack Millar
33,38:23:00,John Eves
34,38:26:00,Darren Deed
35,38:34:00,Matthew Grieve
36,38:38:00,Daniel Bebbington
37,38:38:00,William Christofi
38,38:39:00,William Mycroft
39,38:39:00,Logan Smith
40,38:40:00,Alex Tovey
41,38:40:00,Jarlath Mckenna
42,38:44:00,Ollie Lockley
43,38:45:00,Jonathan Escalante-Phillips
44,38:45:00,Kieran Reilly
45,38:45:00,William Ryle-Hodges
46,38:47:00,Mathew Jackson
47,38:50:00,Ryan Driscoll
48,38:53:00,Phillip Crout
49,38:55:00,Norman Shreeve
50,38:57:00,George King
51,38:57:00,Maximilian Nicholls
52,38:58:00,Sam Eglen
53,38:59:00,Jake Richardson
54,39:01:00,Peter Hodkinson
55,39:06:00,Jonathan Shields
56,39:07:00,Alex Pilcher
57,39:07:00,Matt Bray
58,39:09:00,John Sanderson
59,39:10:00,Luke Betts
60,39:11:00,Josh Lunn
61,39:12:00,Jamie Bryant
62,39:12:00,Alan Corlett
63,39:15:00,George Gathercole
64,39:15:00,Stu Huntington
65,39:16:00,Callum Rowlinson
66,39:17:00,Robert Thompson
67,39:18:00,Dom James
68,39:18:00,Robert Warner
69,39:20:00,Cameron Payas
70,39:23:00,Gregory Jayasuriya
71,39:25:00,Frederick Slemeck
72,39:25:00,Zak Seddon
73,39:30:00,Colin High
74,39:33:00,Shane Robinson
75,39:35:00,Oliver Paulin
76,39:35:00,Philip Sewell
77,39:37:00,Chris Darling
78,39:38:00,Tom Jervis
79,39:38:00,James Hoad
80,39:39:00,Owen Hind
81,39:40:00,Jack Morris
82,39:40:00,Nick Martin
83,39:42:00,Gareth Raven
84,39:43:00,Joshua Moody
85,39:45:00,William Gardner
86,39:46:00,Sam Johnson
87,39:47:00,Kieran Walker
88,39:47:00,Paskar Owor
89,39:48:00,Tim Stratton
90,39:48:00,Jim Allchin
91,39:49:00,Kadar Omar
92,39:49:00,Chris Smith
93,39:50:00,Edward Knudsen
94,39:51:00,Joshua Schofield
95,39:52:00,Tim Raynes
96,39:53:00,Tom Cornthwaite
97,39:55:00,Daniel Woodgate
98,39:56:00,Joe Baxter
99,39:58:00,Jonathan Goringe
100,39:59:00,Daniel Kashi
101,40:00:00,Owain Jones
102,40:01:00,Adrian Bailes
103,40:01:00,Luke Cotter
104,40:02:00,Harry Holmes
105,40:03:00,Chris Law
106,40:05:00,Matthew Barnes
107,40:06:00,Daniel Owen
108,40:07:00,Christopher Greenwood
109,40:09:00,Joe Smith
110,40:11:00,Hugo Cayssials
111,40:13:00,Paul Rodgers
112,40:14:00,Daniel Kestrel (Chan)
113,40:14:00,Richard Henderson
114,40:17:00,Josh Rowe
115,40:18:00,Kirk Smith
116,40:18:00,Lee Milburn
117,40:18:00,Max Costley
118,40:19:00,Patrick Roddy
119,40:19:00,Daniel Haworth
120,40:20:00,Andrew Headley
121,40:23:00,George Duggan
122,40:23:00,James McMullan
123,40:25:00,Kim Critchley
124,40:26:00,Edward Chuck
125,40:27:00,Ross Braden
126,40:27:00,Connor Milnes
127,40:28:00,Jonathan Johnson
128,40:30:00,Conor Kissane-Wood
129,40:30:00,Finn Brodie
130,40:31:00,Rob Wilson
131,40:31:00,Andrew Lawrence
132,40:32:00,Kevin Moore
133,40:33:00,Sam Sommerville
134,40:34:00,John Battrick
135,40:34:00,Harry Allen
136,40:34:00,Christopher McGurk
137,40:35:00,Dave Morgan
138,40:35:00,Joe Sagar
139,40:36:00,Robin Howie
