position,raw_time,raw_name
1,30:22:00,Ben Connor
2,30:27:00,Mahamed Mahamed
3,30:35:00,Alex Yee
4,30:50:00,Adam Hickey
5,31:00:00,Emile Cairess
6,31:03:00,Tom Evans
7,31:05:00,Kristian Jones
8,31:20:00,Jamie Crowe
9,31:26:00,Ross Millington
10,31:32:00,Sol Sweeney
11,31:35:00,Sam Stabler
12,31:39:00,Jonathan Glen
13,31:41:00,Jonathan Davies
14,31:43:00,Jamie Williamson
15,31:43:00,Alexander Teuten
16,31:44:00,Tom Mortimer
17,31:47:00,Omar Ahmed
18,31:51:00,Jack Gray
19,31:52:00,James Hunt
20,31:53:00,Ellis Cross
21,31:54:00,Ieuan Thomas
22,31:57:00,Carl Avery
23,31:58:00,Adam Craig
24,32:02:00,James Gormley
25,32:07:00,Lachlan Oates
26,32:10:00,Jonathan Escalante-Phillips
27,32:11:00,Luke Prior
28,32:16:00,Jack Leitch
29,32:21:00,Robert Warner
30,32:25:00,Abdulqani Sharif
31,32:27:00,Callum Charleston
32,32:27:00,Mark Pearce
33,32:32:00,Michael Ward
34,32:35:00,Kieran Clements
35,32:37:00,Max Milarvie
36,32:38:00,Linton Taylor
37,32:39:00,Cameron Allan
38,32:39:00,Nicholas Torry
39,32:40:00,Ricky Harvie
40,32:40:00,Abel Tsegay
41,32:44:00,Gus Cockle
42,32:44:00,Ross Braden
43,32:46:00,Joe Wilkinson
44,32:46:00,Dylan Evans
45,32:48:00,Ryan Thomson
46,32:51:00,Tom Butler
47,32:52:00,Callan Moody
48,32:52:00,Tim Harrison
49,32:55:00,Ian Crowe-Wright
50,32:55:00,Joseph Massingham
51,32:56:00,Shaun Evans
52,32:57:00,Alex Brown
53,32:58:00,Joshua Schofield
54,32:59:00,Michael Christoforou
55,33:01:00,Dominic Nolan
56,33:02:00,William Christofi
57,33:02:00,Dom James
58,33:03:00,James Heneghan
59,33:05:00,Daniel Bebbington
60,33:06:00,Maximilian Nicholls
61,33:07:00,Rowan Axe
62,33:10:00,Sam Johnson
63,33:17:00,Sam Eglen
64,33:20:00,Charlie Davis
65,33:22:00,Daniel Haworth
66,33:23:00,Chris Law
67,33:26:00,Gregory Jayasuriya
68,33:31:00,James Donald
69,33:35:00,Ciaran Lewis
70,33:45:00,Ahmed Abdulle
71,33:46:00,Joe Arthur
72,33:48:00,Jay Ferns
73,33:49:00,Piers Copeland
74,33:53:00,Alasdair Kinloch
75,33:58:00,Richard Burney
76,33:59:00,Thomas Gostelow
77,34:01:00,Peter Brookes
78,34:03:00,Jamie Goodge
79,34:07:00,Daniel Kashi
80,34:15:00,Thomas Drabble
81,34:18:00,Alex Tovey
82,34:19:00,James McCrae
83,34:24:00,George Wheeler
84,34:26:00,Euan Campbell
85,34:28:00,Paul Graham
86,34:29:00,George Watson
87,34:31:00,Matt Hall
88,34:34:00,Alfie Manthorpe
89,34:37:00,James Habergham
90,34:42:00,Robert Danson
91,34:46:00,Jack Turner
92,34:47:00,Ian Lawton
93,34:50:00,Shaun Smith
94,34:54:00,Stephen Garrett
95,34:59:00,Charles Wheeler
96,34:59:00,Craig Campbell
97,35:01:00,Daniel Carpenter
98,35:02:00,Ross Campbell
99,35:03:00,Karl Billington
100,35:05:00,Charlie Haywood
101,35:08:00,Markhim Lonsdale
102,35:10:00,Rian McCawley
103,35:12:00,Alex Carcas
104,35:14:00,William Cork
105,35:17:00,Tony O'Brien
106,35:29:00,James Tartt
107,35:31:00,Jon-Jo Doherty
108,35:33:00,David Rigby
109,35:36:00,Rob Webb
110,35:36:00,Arun Dight
111,35:37:00,Nick Hardy
112,35:37:00,Jack Eykelbosch
113,35:38:00,Pablo Lassa
114,35:42:00,Jacob Cann
115,35:44:00,Joseph Vis
116,35:44:00,Christopher Davies
117,35:47:00,Jed Bartlett
118,35:49:00,Joe Connors
119,35:52:00,Mohamed Abshir
120,35:53:00,Chris Maher
121,35:55:00,Andrew Kershaw
122,35:56:00,Bryn Smith
123,35:57:00,Jordan Scott
124,36:04:00,Jordan Wood
125,36:04:00,Jamie Grose
126,36:05:00,Conor Thomson
127,36:10:00,Joseph Tuffin
128,36:15:00,Ryan Skeats
129,36:18:00,Chris Pownell
130,36:20:00,Aedan O'Brien
131,36:22:00,Paul Peters
132,36:25:00,Euan Martin
133,36:25:00,Nick Gaskell
134,36:30:00,Martin Swensson
135,36:31:00,Shaun Livesey
136,36:35:00,Jack Boswell
137,36:38:00,Adie Cheethan
138,36:58:00,Beau Smith
139,37:00:00,Michael Bartram
140,37:01:00,Joseph Booth
141,37:03:00,Jonathan Cleaver
142,37:07:00,Robert Owens
143,37:08:00,Lee Dover
144,37:10:00,Lee Parrington
145,37:11:00,Matt Briggs
146,37:11:00,Andrew Salmon
147,37:13:00,Ryan Jones
148,37:15:00,Nick Treitl
149,37:21:00,Thomas Blaney
150,37:30:00,Mike Toft
