position,raw_time,raw_name
1,28:22:00,Jessica Judd
2,28:32:00,Charlotte Arter
3,28:40:00,Kate Avery
4,28:43:00,Amy Griffiths
5,28:45:00,Abbie Donnelly
6,28:47:00,Jennifer Nesbitt
7,28:57:00,Bronwen Owen
8,29:09:00,Kate Holt
9,29:12:00,Lauren Hall
10,29:23:00,Jessica Gibbon
11,29:24:00,Emily Hosker-Thornhill
12,29:29:00,Dani Chattenton
13,29:31:00,Sonia Samuels
14,29:35:00,Cari Hughes
15,29:38:00,Naomi Taschimowitz
16,29:39:00,Amelia Quirk
17,29:42:00,Eleanor Bolton
18,29:44:00,Adelle Tracey
19,29:48:00,Niamh Bridson Hubbard
20,29:51:00,Becky Straw
21,29:54:00,Hannah Viner
22,29:55:00,Jennifer Walsh
23,30:00:00,Charlotte Dannatt
24,30:09:00,Revee Walcott-Nolan
25,30:09:00,Phoebe Barker
26,30:11:00,Kirsty Longley
27,30:16:00,Giorgia Chattwood
28,30:18:00,Sophie Tarver
29,30:20:00,Niamh Brown
30,30:28:00,Amelia Pettitt
31,30:30:00,Danielle Hodgkinson
32,30:33:00,Sarah Astin
33,30:33:00,Chloe Sharp
34,30:34:00,Emily Ruane
35,30:34:00,Annabel Simpson
36,30:39:00,Georgia Malir
37,30:43:00,Emily Japp
38,30:50:00,Floren Scrafton
39,30:52:00,Philippa Stone
40,30:52:00,Molly Browne
41,30:53:00,Lauren Cooper
42,30:54:00,Clara Evans
43,30:54:00,Laura Brenton
44,30:56:00,Hannah Brown
45,31:05:00,Charlie Arnell
46,31:06:00,Kerry MacAngus
47,31:06:00,Nicola Devine
48,31:10:00,Sophie Coldwell
49,31:13:00,Holly Little
50,31:17:00,Bryony Gunn
51,31:20:00,Jemima Elgood
52,31:26:00,Caroline Lambert
53,31:28:00,Jenny Selman
54,31:35:00,Zara Knappy
55,31:41:00,Kate Maltby
56,31:42:00,Kayleigh Jarrett
57,31:45:00,Rosie Johnson
58,31:49:00,Hannah-May Fletcher-Poole
59,31:54:00,Rebecca Johnson
60,31:57:00,Olivia Stones
61,32:03:00,Nichola Jackson
62,32:07:00,Sophie Wood
63,32:11:00,Katie Hughes
64,32:16:00,Jessica Keene
65,32:17:00,Hannah Cowley
66,32:19:00,Katie Lowery
67,32:21:00,Martha Coyle
68,32:25:00,Lorna Young
69,32:47:00,Elisha Tait
70,32:53:00,Eleanor Curran
71,33:02:00,Lilly Fletcher
72,33:08:00,Julia Jagger
73,33:09:00,Hannah Morrison
74,33:11:00,Louisa Whittingham
75,33:12:00,Claudia Nevett
76,33:22:00,Bethan Hudson
77,33:25:00,Nicola Squires
78,33:26:00,Holly Thompson
79,33:30:00,Charlotte Slack
80,33:35:00,Annabel Ralph
81,33:37:00,Emily McNicol
82,33:46:00,Juliet Downs
83,33:52:00,Polly Edwards
84,34:05:00,Josie Cram
85,34:08:00,Eloise Bull
86,34:13:00,Sarah Howard
87,34:20:00,Sally Ratcliffe
88,34:24:00,Charlotte Wilson-Dewhurst
89,34:45:00,Sharon Hastie
90,34:47:00,Rachael Fairclough
91,35:05:00,Amie Bagnall
92,35:12:00,Sarah Kearney
93,35:20:00,Deborah Rushman
94,36:10:00,Antonia Fann
95,36:14:00,Rachel Doherty
96,36:15:00,Lydia Blythe
97,36:17:00,Danielle Brearton
98,36:23:00,Joanna Goorney
99,36:28:00,Rio Catney
100,36:29:00,Christina Singleton
